Brand,Price,Location,Rating,Sold
Lenovo,Rp3.500.000,Jakarta Barat,4.8,50+ terjual
Asus,Rp5.899.000,Jakarta Pusat,5.0,30+ terjual
Dell,Rp2.300.000,Jakarta Barat,4.7,500+ terjual
Lenovo,Rp3.490.000,Jakarta Utara,5.0,1rb+ terjual
Asus,Rp5.959.000,Surabaya,5.0,40+ terjual
Dell,Rp3.400.000,Jakarta Barat,4.8,100+ terjual
Lenovo,Rp2.550.000,Jakarta Pusat,4.9,2rb+ terjual
Lenovo,Rp2.000.000,Jakarta Barat,4.8,250+ terjual
Lenovo,Rp1.730.000,Jakarta Barat,5.0,40+ terjual
Lenovo,Rp2.000.000,Jakarta Barat,4.8,1rb+ terjual
Asus,Rp7.499.000,Jakarta Utara,5.0,70+ terjual
Lenovo,Rp2.475.000,Jakarta Barat,4.9,250+ terjual
Msi,Rp5.299.000,Jakarta Utara,5.0,16 terjual
Asus,Rp9.849.000,Jakarta Utara,4.9,250+ terjual
Apple,Rp15.999.000,Jakarta Utara,5.0,250+ terjual
Dell,Rp2.350.000,Bogor,5.0,18 terjual
Apple,Rp5.450.000,Jakarta Pusat,5.0,16 terjual
Hp,Rp3.250.000,Jakarta Barat,4.9,100+ terjual
Asus,Rp4.899.000,Surabaya,5.0,9 terjual
Dell,Rp2.300.000,Bogor,5.0,5 terjual
Apple,Rp4.500.000,Tangerang,4.9,30+ terjual
Asus,Rp1.345.000,Jakarta Barat,4.7,250+ terjual
Lenovo,Rp3.712.500,Jakarta Barat,4.8,30+ terjual
Lenovo,Rp2.100.000,Bandung,4.9,750+ terjual
Lenovo,Rp9.949.000,Jakarta Utara,4.9,100+ terjual
Lenovo,Rp5.579.000,Jakarta Utara,5.0,1rb+ terjual
Asus,Rp5.049.000,Bandung,5.0,6 terjual
Asus,Rp7.499.000,Jakarta Utara,4.8,500+ terjual
Lenovo,Rp3.300.000,Jakarta Barat,4.8,70+ terjual
Apple,Rp4.450.000,Jakarta Pusat,5.0,17 terjual
Lenovo,Rp4.290.000,Jakarta Utara,4.9,100+ terjual
Lenovo,Rp11.449.000,Jakarta Utara,4.9,750+ terjual
Axioo,Rp6.399.000,Jakarta Utara,5.0,250+ terjual
Asus,Rp13.399.000,Jakarta Utara,5.0,30+ terjual
Asus,Rp8.149.000,Jakarta Pusat,4.9,100+ terjual
Hp,Rp11.299.000,Jakarta Utara,4.9,100+ terjual
Lenovo,Rp14.299.000,Jakarta Barat,4.8,8 terjual
Lenovo,Rp6.949.000,Jakarta Utara,5.0,100+ terjual
Apple,Rp5.650.000,Jakarta Pusat,5.0,30+ terjual
Msi,Rp9.599.000,Jakarta Selatan,4.9,27 terjual
Hp,Rp11.699.000,Jakarta Selatan,5.0,24 terjual
Acer,Rp1.500.000,Jakarta Pusat,4.9,80+ terjual
Apple,Rp3.970.000,Jakarta Selatan,5.0,28 terjual
Dell,Rp1.500.000,Jakarta Barat,4.9,60+ terjual
Asus,Rp6.949.000,Jakarta Pusat,5.0,21 terjual
Asus,Rp5.700.000,Tangerang,0,0 terjual
Dell,Rp2.300.000,Jakarta Barat,4.6,100+ terjual
Hp,Rp4.000.000,Jakarta Barat,5.0,18 terjual
Asus,Rp9.349.000,Jakarta Selatan,5.0,1 terjual
Lenovo,Rp2.000.000,Jakarta Barat,4.9,500+ terjual
Lenovo,Rp9.649.000,Jakarta Utara,5.0,100+ terjual
Lenovo,Rp3.185.000,Jakarta Barat,4.7,100+ terjual
Lenovo,Rp6.899.000,Jakarta Utara,5.0,100+ terjual
Hp,Rp5.339.000,Jakarta Utara,5.0,100+ terjual
Lenovo,Rp6.949.000,Jakarta Utara,5.0,100+ terjual
Asus,Rp9.349.000,Jakarta Utara,5.0,2 terjual
Dell,Rp5.499.000,Jakarta Pusat,5.0,60+ terjual
Asus,Rp8.449.000,Jakarta Utara,5.0,90+ terjual
Axioo,Rp5.699.000,Jakarta Barat,5.0,10 terjual
Lenovo,Rp14.650.890,Jakarta Selatan,0,1 terjual
Asus,Rp7.099.000,Jakarta Pusat,5.0,30+ terjual
Lenovo,Rp4.379.000,Jakarta Pusat,5.0,100+ terjual
Asus,Rp14.550.000,Bandung,4.8,7 terjual
Asus,Rp3.849.000,Jakarta Pusat,4.9,500+ terjual
Asus,Rp8.149.000,Surabaya,5.0,30+ terjual
Axioo,Rp4.399.000,Jakarta Utara,5.0,90+ terjual
Apple,Rp8.000.000,Jakarta Selatan,5.0,3 terjual
Lenovo,Rp6.890.000,Jakarta Barat,5.0,12 terjual
Asus,Rp6.849.000,Jakarta Utara,5.0,500+ terjual
Hp,Rp4.490.000,Jakarta Pusat,5.0,40+ terjual
Lenovo,Rp5.000.000,Jakarta Pusat,4.9,100+ terjual
Hp,Rp9.699.000,Jakarta Pusat,5.0,2 terjual
Axioo,Rp4.199.000,Jakarta Selatan,4.9,250+ terjual
Asus,Rp9.699.000,Jakarta Utara,4.9,100+ terjual
Lenovo,Rp14.499.000,Jakarta Pusat,5.0,4 terjual
Lenovo,Rp2.400.000,Jakarta Pusat,5.0,2 terjual
Lenovo,Rp2.800.000,Jakarta Pusat,4.8,100+ terjual
Asus,Rp7.399.000,Jakarta Utara,0,2 terjual
Asus,Rp6.849.000,Jakarta Utara,0,4 terjual
Asus,Rp5.599.000,Jakarta Utara,5.0,1rb+ terjual
Lenovo,Rp3.300.000,Jakarta Pusat,4.9,1rb+ terjual
Hp,Rp2.300.000,Jakarta Barat,4.8,250+ terjual
Hp,Rp4.600.000,Jakarta Barat,5.0,25 terjual
Asus,Rp8.799.000,Jakarta Pusat,0,2 terjual
Asus,Rp5.749.000,Surabaya,4.9,25 terjual
Asus,Rp6.300.000,Jakarta Barat,5.0,40+ terjual
Hp,Rp11.399.000,Jakarta Pusat,5.0,1 terjual
Lenovo,Rp9.899.000,Jakarta Utara,5.0,100+ terjual
Asus,Rp6.999.000,Jakarta Pusat,5.0,17 terjual
Lenovo,Rp8.999.000,Jakarta Pusat,5.0,8 terjual
Lenovo,Rp3.100.000,Jakarta Pusat,4.8,100+ terjual
Tecno,Rp7.999.000,Jakarta Utara,5.0,100+ terjual
Lenovo,Rp5.549.000,Jakarta Utara,0,7 terjual
Asus,Rp5.689.000,Jakarta Utara,5.0,1rb+ terjual
Dell,Rp13.599.000,Jakarta Selatan,5.0,5 terjual
Asus,Rp7.400.000,Jakarta Pusat,5.0,30+ terjual
Asus,Rp10.899.000,Jakarta Utara,5.0,50+ terjual
Asus,Rp10.499.000,Jakarta Utara,5.0,12 terjual
Lenovo,Rp2.800.000,Jakarta Barat,4.5,100+ terjual
Hp,Rp3.050.000,Jakarta Barat,4.9,50+ terjual
Msi,Rp5.000.000,Kab. Cirebon,0,0 terjual
Axioo,Rp5.499.000,Jakarta Utara,5.0,100+ terjual
Fujitsu,Rp4.360.000,Jakarta Pusat,4.9,30+ terjual
Lenovo,Rp3.990.000,Jakarta Pusat,5.0,70+ terjual
Lenovo,Rp8.149.000,Jakarta Utara,4.8,500+ terjual
Lenovo,Rp800.000,Jakarta Barat,5.0,750+ terjual
Acer,Rp5.449.000,Jakarta Utara,5.0,500+ terjual
Lenovo,Rp6.199.000,Jakarta Pusat,5.0,1rb+ terjual
Acer,Rp2.700.000,Jakarta Barat,4.1,40+ terjual
Asus,Rp15.999.000,Jakarta Utara,0,1 terjual
Lenovo,Rp4.449.000,Jakarta Selatan,5.0,1rb+ terjual
Asus,Rp13.399.000,Jakarta Utara,5.0,22 terjual
Dell,Rp5.500.000,Jakarta Barat,5.0,2 terjual
Lenovo,Rp12.999.000,Jakarta Pusat,5.0,5 terjual
Advan,Rp6.999.000,Kab. Tangerang,4.9,7rb+ terjual
Dell,Rp12.699.000,Jakarta Pusat,4.8,100+ terjual
Lenovo,Rp5.249.000,Jakarta Utara,4.8,27 terjual
Fujitsu,Rp2.300.000,Jakarta Barat,5.0,40+ terjual
Hp,Rp9.949.000,Jakarta Selatan,5.0,100+ terjual
Lenovo,Rp5.350.000,Jakarta Pusat,4.9,250+ terjual
Msi,Rp8.399.000,Jakarta Pusat,5.0,100+ terjual
Apple,Rp3.399.000,Tangerang,5.0,15 terjual
Axioo,Rp4.999.000,Jakarta Pusat,5.0,1rb+ terjual
Hp,Rp1.850.000,Jakarta Barat,4.6,500+ terjual
Asus,Rp7.499.000,Jakarta Selatan,5.0,30+ terjual
Asus,Rp5.899.000,Jakarta Utara,5.0,500+ terjual
Asus,Rp9.692.000,Jakarta Utara,5.0,20 terjual
Dell,Rp2.650.000,Bogor,5.0,1 terjual
Dell,Rp2.700.000,Bogor,5.0,15 terjual
Zyrex,Rp1.999.000,Jakarta Utara,5.0,27 terjual
Asus,Rp2.550.000,Jakarta Barat,4.6,100+ terjual
Asus,Rp3.000.000,Jakarta Barat,5.0,3 terjual
Lenovo,Rp5.699.000,Jakarta Pusat,4.5,6 terjual
Asus,Rp4.709.000,Jakarta Timur,5.0,40+ terjual
Asus,Rp5.689.000,Jakarta Utara,5.0,100+ terjual
Lenovo,Rp2.500.000,Jakarta Pusat,5.0,60+ terjual
Asus,Rp7.377.000,Jakarta Pusat,5.0,7 terjual
Axioo,Rp3.050.000,Jakarta Selatan,5.0,40+ terjual
Google,Rp2.800.000,Jakarta Pusat,5.0,60+ terjual
Hp,Rp2.500.000,Jakarta Barat,4.9,40+ terjual
Hp,Rp5.149.000,Jakarta Utara,4.9,250+ terjual
Asus,Rp16.449.000,Jakarta Utara,5.0,250+ terjual
Lenovo,Rp2.800.000,Jakarta Barat,4.9,250+ terjual
Lenovo,Rp5.950.000,Bogor,4.9,40+ terjual
Asus,Rp5.899.000,Jakarta Pusat,5.0,60+ terjual
Axioo,Rp2.669.000,Jakarta Utara,5.0,100+ terjual
Lenovo,Rp3.050.000,Jakarta Barat,5.0,50+ terjual
Msi,Rp15.799.000,Jakarta Pusat,5.0,1 terjual
Hp,Rp3.250.000,Jakarta Barat,4.8,50+ terjual
Axioo,Rp2.749.000,Jakarta Utara,4.9,750+ terjual
Hp,Rp2.700.000,Bandung,5.0,30+ terjual
Asus,Rp7.499.000,Jakarta Pusat,5.0,20 terjual
Asus,Rp9.699.000,Jakarta Utara,4.9,100+ terjual
Asus,Rp6.849.000,Jakarta Utara,5.0,100+ terjual
Asus,Rp3.779.000,Jakarta Utara,4.9,500+ terjual
Hp,Rp5.349.000,Jakarta Utara,5.0,80+ terjual
Hp,Rp3.700.000,Jakarta Barat,5.0,6 terjual
Dell,Rp2.500.000,Jakarta Barat,5.0,16 terjual
Lenovo,Rp3.000.000,Jakarta Pusat,5.0,250+ terjual
Dell,Rp7.500.000,Jakarta Pusat,5.0,22 terjual
Asus,Rp1.150.000,Malang,0,0 terjual
Asus,Rp8.700.000,Bandung,0,0 terjual
Asus,Rp6.600.000,Bandung,5.0,1 terjual
Dell,Rp5.250.000,Jakarta Barat,4.9,30+ terjual
Lenovo,Rp1.000.000,Jakarta Barat,5.0,4 terjual
Dell,Rp8.990.000,Jakarta Barat,5.0,15 terjual
Dell,Rp9.999.000,Jakarta Pusat,5.0,2 terjual
Lenovo,Rp2.000.000,Jakarta Barat,5.0,60+ terjual
Lenovo,Rp6.199.000,Jakarta Pusat,4.9,500+ terjual
Dell,Rp4.000.000,Jakarta Pusat,5.0,30+ terjual
Asus,Rp7.199.000,Jakarta Utara,0,0 terjual
Asus,Rp5.689.000,Jakarta Utara,4.9,1rb+ terjual
Acer,Rp5.449.000,Jakarta Pusat,5.0,8 terjual
Lenovo,Rp6.299.000,Jakarta Pusat,4.9,28 terjual
Hp,Rp2.300.000,Jakarta Barat,4.9,100+ terjual
Tecno,Rp6.999.000,Jakarta Utara,5.0,100+ terjual
Asus,Rp6.899.000,Jakarta Utara,5.0,100+ terjual
Hp,Rp8.084.000,Bandung,0,0 terjual
Axioo,Rp2.449.000,Jakarta Utara,4.9,1rb+ terjual
Lenovo,Rp10.299.000,Tangerang,4.0,3 terjual
Asus,Rp4.550.000,Kediri,5.0,1 terjual
Axioo,Rp4.229.000,Jakarta Utara,5.0,100+ terjual
Asus,Rp1.340.000,Jakarta Barat,4.8,40+ terjual
Asus,Rp3.859.000,Jakarta Timur,5.0,15 terjual
Ast,Rp7.350.000,Jakarta Barat,5.0,6 terjual
Asus,Rp1.550.000,Jakarta Barat,4.6,60+ terjual
Lenovo,Rp2.450.000,Jakarta Pusat,4.8,60+ terjual
Lenovo,Rp2.400.000,Jakarta Barat,5.0,9 terjual
Lenovo,Rp5.579.000,Jakarta Utara,5.0,250+ terjual
Lenovo,Rp1.750.000,Jakarta Barat,4.8,90+ terjual
Asus,Rp11.000.000,Jakarta Selatan,0,1 terjual
Lenovo,Rp3.650.000,Jakarta Barat,4.8,17 terjual
Lenovo,Rp3.600.000,Jakarta Barat,5.0,3 terjual
Lenovo,Rp4.379.000,Jakarta Utara,5.0,100+ terjual
Lenovo,Rp3.950.000,Jakarta Barat,5.0,250+ terjual
Hp,Rp2.500.000,Jakarta Barat,4.7,250+ terjual
Hp,Rp14.799.000,Jakarta Selatan,5.0,5 terjual
Dell,Rp7.000.000,Jakarta Timur,4.7,5 terjual
Dell,Rp1.500.000,Jakarta Utara,4.7,60+ terjual
Lenovo,Rp4.549.000,Jakarta Pusat,5.0,100+ terjual
Asus,Rp3.050.000,Jakarta Barat,5.0,22 terjual
Lenovo,Rp2.450.000,Jakarta Pusat,4.8,17 terjual
Huawei,Rp7.397.000,Jakarta Utara,0,2 terjual
Lenovo,Rp8.149.000,Jakarta Utara,5.0,60+ terjual
Hp,Rp2.500.000,Jakarta Barat,5.0,80+ terjual
Lenovo,Rp7.200.000,Jakarta Pusat,5.0,9 terjual
Lenovo,Rp1.400.000,Bandung,4.9,250+ terjual
Lenovo,Rp9.999.000,Jakarta Utara,0,0 terjual
Asus,Rp8.039.000,Jakarta Utara,5.0,250+ terjual
Lenovo,Rp4.800.000,Malang,0,2 terjual
Hp,Rp7.249.000,Jakarta Utara,4.9,750+ terjual
Apple,Rp8.250.000,Tangerang,5.0,9 terjual
Lenovo,Rp5.799.000,Makassar,4.9,40+ terjual
Hp,Rp4.450.000,Jakarta Pusat,5.0,50+ terjual
Lenovo,Rp3.000.000,Jakarta Barat,5.0,50+ terjual
Acer,Rp8.519.000,Jakarta Timur,5.0,6 terjual
Lenovo,Rp2.835.000,Malang,0,0 terjual
Lenovo,Rp5.499.000,Jakarta Pusat,5.0,250+ terjual
Hp,Rp5.799.000,Jakarta Utara,5.0,250+ terjual
Asus,Rp5.689.000,Jakarta Pusat,4.9,1rb+ terjual
Apple,Rp3.950.000,Jakarta Pusat,4.1,19 terjual
Samsung,Rp10.875.000,Jakarta Utara,5.0,40+ terjual
Lenovo,Rp9.000.000,Jakarta Barat,4.8,29 terjual
Lenovo,Rp3.650.000,Jakarta Barat,5.0,250+ terjual
Dell,Rp4.207.500,Jakarta Barat,5.0,10 terjual
Lenovo,Rp18.799.000,Jakarta Utara,5.0,250+ terjual
Hasee,Rp4.250.000,Jakarta Utara,0,0 terjual
Asus,Rp7.399.000,Jakarta Utara,5.0,100+ terjual
Lenovo,Rp3.650.000,Jakarta Pusat,5.0,7 terjual
Dell,Rp4.100.000,Kab. Tangerang,5.0,50+ terjual
Dell,Rp3.800.000,Jakarta Pusat,4.9,30+ terjual
Lenovo,Rp2.050.000,Jakarta Barat,5.0,30+ terjual
Msi,Rp3.200.000,Surakarta,0,0 terjual
Dell,Rp4.999.999,Jakarta Barat,4.8,30+ terjual
Asus,Rp3.849.000,Jakarta Pusat,5.0,6 terjual
Axioo,Rp7.649.000,Jakarta Selatan,5.0,100+ terjual
Dell,Rp5.390.000,Jakarta Utara,5.0,50+ terjual
Hp,Rp1.000.000.000,Kab. Kendal,0,0 terjual
Asus,Rp5.149.000,Jakarta Timur,4.6,40+ terjual
Hp,Rp6.399.000,Jakarta Utara,4.9,100+ terjual
Lenovo,Rp1.950.000,Jakarta Selatan,0,3 terjual
Lenovo,Rp1.600.000,Jakarta Pusat,5.0,2rb+ terjual
Lenovo,Rp2.800.000,Bandung,5.0,5 terjual
Asus,Rp3.799.000,Jakarta Pusat,4.9,2rb+ terjual
Lenovo,Rp5.350.000,Bogor,4.8,250+ terjual
Infinix,Rp6.199.000,Bandung,5.0,2 terjual
Advan,Rp4.599.000,Kab. Tangerang,4.8,1rb+ terjual
Lenovo,Rp5.000.000,Jakarta Barat,4.0,9 terjual
Lenovo,Rp4.999.000,Jakarta Pusat,4.7,60+ terjual
Lenovo,Rp3.700.000,Jakarta Pusat,5.0,17 terjual
Acer,Rp4.949.000,Jakarta Timur,4.9,100+ terjual
Asus,Rp28.999.000,Kab. Karawang,0,1 terjual
Dell,Rp14.899.000,Jakarta Utara,5.0,10 terjual
Lenovo,Rp5.700.000,Jakarta Barat,5.0,4 terjual
Lenovo,Rp2.790.000,Jakarta Utara,5.0,100+ terjual
Lenovo,Rp10.099.000,Jakarta Pusat,5.0,40+ terjual
Lenovo,Rp1.300.000,Kab. Tangerang,0,0 terjual
Dell,Rp2.400.000,Jakarta Barat,5.0,18 terjual
Lenovo,Rp1.732.500,Jakarta Barat,5.0,50+ terjual
Lenovo,Rp4.275.000,Jakarta Pusat,4.9,250+ terjual
Dell,Rp2.350.000,Bogor,4.6,14 terjual
Asus,Rp2.000.000,Tangerang,0,0 terjual
Dell,Rp2.200.000,Bogor,5.0,2 terjual
Asus,Rp2.000.000,Jakarta Barat,5.0,27 terjual
Asus,Rp2.500.000,Tangerang,0,0 terjual
Lenovo,Rp420.000,Jakarta Selatan,5.0,6 terjual
Lenovo,Rp3.390.000,Jakarta Utara,5.0,60+ terjual
Dell,Rp26.499.000,Jakarta Utara,5.0,1 terjual
Asus,Rp6.899.000,Jakarta Timur,5.0,26 terjual
Lenovo,Rp2.400.000,Jakarta Barat,5.0,25 terjual
Lenovo,Rp4.775.000,Kab. Sleman,0,0 terjual
Hp,Rp5.949.000,Jakarta Pusat,5.0,5 terjual
Lenovo,Rp6.799.000,Jakarta Pusat,5.0,70+ terjual
Hp,Rp3.217.500,Jakarta Barat,5.0,13 terjual
Acer,Rp4.689.000,Jakarta Selatan,5.0,13 terjual
Acer,Rp7.349.000,Jakarta Utara,5.0,100+ terjual
Lenovo,Rp5.579.000,Depok,5.0,80+ terjual
Lenovo,Rp8.499.000,Jakarta Pusat,5.0,19 terjual
Fujitsu,Rp2.600.000,Jakarta Pusat,4.7,8 terjual
Ast,Rp8.150.000,Jakarta Barat,5.0,100+ terjual
Asus,Rp1.386.000,Jakarta Barat,4.4,20 terjual
Lenovo,Rp1.899.999,Jakarta Barat,4.9,2rb+ terjual
Lenovo,Rp2.300.000,Jakarta Barat,5.0,17 terjual
Hp,Rp2.800.000,Jakarta Utara,4.4,80+ terjual
Lenovo,Rp2.400.000,Bogor,5.0,8 terjual
Acer,Rp800.000,Kab. Subang,0,0 terjual
Lenovo,Rp1.732.500,Jakarta Barat,4.8,250+ terjual
Hp,Rp2.300.000,Pekanbaru,4.9,40+ terjual
Lenovo,Rp2.750.000,Depok,4.9,50+ terjual
Asus,Rp6.999.000,Bandung,5.0,60+ terjual
Hp,Rp2.200.000,Jakarta Pusat,0,0 terjual
Zyrex,Rp3.999.000,Jakarta Utara,5.0,100+ terjual
Asus,Rp4.150.000,Bandung,0,0 terjual
Ast,Rp8.150.000,Jakarta Barat,5.0,100+ terjual
Samsung,Rp800.000,Jakarta Barat,4.2,6 terjual
Asus,Rp1.386.000,Jakarta Barat,4.4,20 terjual
Fujitsu,Rp2.600.000,Jakarta Pusat,4.7,8 terjual
Lenovo,Rp1.899.999,Jakarta Barat,4.9,2rb+ terjual
Lenovo,Rp2.750.000,Depok,4.9,50+ terjual
Lenovo,Rp10.299.000,Bogor,5.0,1 terjual
Hp,Rp2.200.000,Jakarta Pusat,0,0 terjual
Lenovo,Rp750.000,Bandung,5.0,8 terjual
Zyrex,Rp3.999.000,Jakarta Utara,5.0,100+ terjual
Asus,Rp5.749.000,Jakarta Utara,5.0,1rb+ terjual
Lenovo,Rp4.100.000,Kab. Gresik,0,2 terjual
Asus,Rp4.150.000,Bandung,0,0 terjual
Hp,Rp2.300.000,Pekanbaru,4.9,40+ terjual
Lenovo,Rp2.450.000,Jakarta Pusat,5.0,100+ terjual
Apple,Rp10.450.000,Kab. Tangerang,5.0,28 terjual
Maxone,Rp4.350.000,Malang,0,0 terjual
Lenovo,Rp3.150.000,Jakarta Barat,4.7,23 terjual
Asus,Rp7.399.000,Jakarta Utara,5.0,500+ terjual
Asus,Rp6.999.000,Bandung,5.0,60+ terjual
Hp,Rp6.199.000,Jakarta Selatan,5.0,2 terjual
Axioo,Rp2.749.000,Jakarta Selatan,5.0,1 terjual
Toshiba,Rp3.050.000,Jakarta Pusat,5.0,6 terjual
Lenovo,Rp500.000,Jakarta Pusat,0,0 terjual
Lenovo,Rp6.349.000,Jakarta Pusat,5.0,2 terjual
Zyrex,Rp2.199.000,Jakarta Selatan,5.0,100+ terjual
Lenovo,Rp2.450.000,Jakarta Pusat,4.9,100+ terjual
Lenovo,Rp4.899.000,Jakarta Barat,4.9,500+ terjual
Acer,Rp113.600,Jakarta Barat,0,10 terjual
Acer,Rp1.650.000,Malang,0,0 terjual
Lenovo,Rp1.000.000,Jakarta Pusat,0,0 terjual
Lenovo,Rp2.000.000,Jakarta Pusat,0,0 terjual
Acer,Rp2.400.000,Jakarta Barat,4.4,13 terjual
Hp,Rp2.700.000,Tangerang,0,0 terjual
Acer,Rp600.000,Kab. Bekasi,4.5,250+ terjual
Acer,Rp2.900.000,Jakarta Pusat,0,0 terjual
Asus,Rp12.485.000,Bekasi,0,0 terjual
Axioo,Rp4.229.000,Jakarta Pusat,4.9,500+ terjual
Lenovo,Rp1.300.000,Kab. Tangerang,0,0 terjual
Dell,Rp2.500.000,Bandung,4.9,15 terjual
Lenovo,Rp3.150.000,Jakarta Barat,4.8,100+ terjual
Asus,Rp4.719.000,Malang,0,0 terjual
Asus,Rp4.749.000,Jakarta Timur,5.0,26 terjual
Axioo,Rp1.900.000,Jakarta Barat,0,0 terjual
Dell,Rp4.090.000,Jakarta Pusat,5.0,2 terjual
Zyrex,Rp2.599.000,Jakarta Utara,5.0,21 terjual
Vaio,Rp1.500.000,Jakarta Pusat,0,0 terjual
Asus,Rp7.990.000,Jakarta Pusat,5.0,3 terjual
Fujitsu,Rp4.090.000,Jakarta Pusat,5.0,9 terjual
Fujitsu,Rp1.899.999,Jakarta Barat,5.0,40+ terjual
Lenovo,Rp2.650.000,Bogor,4.9,100+ terjual
Asus,Rp2.200.000,Jakarta Pusat,5.0,1 terjual
Toshiba,Rp2.100.000,Jakarta Pusat,5.0,13 terjual
Lenovo,Rp2.350.000,Tangerang,0,3 terjual
